Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,Product ID,Product Name,Category,Sales,Quantity,Profit
1,ORD1001,2024-03-11,2024-03-13,C001,Customer_1,Home Office,North,P001,Samsung Galaxy S24,Mobiles,34256,2,7209
2,ORD1002,2024-01-08,2024-01-09,C002,Customer_2,Consumer,South,P002,HP Printer,Printers,33657,2,5917
3,ORD1003,2024-04-24,2024-04-29,C003,Customer_3,Consumer,West,P003,HP Printer,Printers,41463,1,8865
4,ORD1004,2024-02-09,2024-02-11,C004,Customer_4,Consumer,East,P004,LG Monitor,Monitors,49118,1,5595
5,ORD1005,2024-03-08,2024-03-09,C005,Customer_5,Corporate,North,P005,Samsung Monitor,Monitors,65217,5,7742
6,ORD1006,2024-06-07,2024-06-10,C006,Customer_6,Consumer,South,P006,Sony Camera,Cameras,80674,2,16593
7,ORD1007,2024-02-29,2024-03-01,C007,Customer_7,Corporate,South,P007,Canon Camera,Cameras,54823,3,9210
8,ORD1008,2024-02-23,2024-02-26,C008,Customer_8,Consumer,South,P008,LG Monitor,Monitors,89939,1,17211
9,ORD1009,2024-04-07,2024-04-10,C009,Customer_9,Corporate,North,P009,Samsung Tab,Tablets,88886,5,11816
10,ORD1010,2024-03-21,2024-03-25,C010,Customer_10,Home Office,East,P010,Sony Headphones,Accessories,40093,1,5278
11,ORD1011,2024-05-07,2024-05-11,C011,Customer_11,Consumer,South,P011,JBL Speaker,Accessories,89259,4,10838
12,ORD1012,2024-05-29,2024-06-02,C012,Customer_12,Consumer,West,P012,Sony Camera,Cameras,81484,4,12572
13,ORD1013,2024-01-29,2024-01-31,C013,Customer_13,Corporate,North,P013,Samsung Galaxy S24,Mobiles,87240,2,19089
14,ORD1014,2024-06-01,2024-06-05,C014,Customer_14,Consumer,North,P014,Canon Printer,Printers,74352,3,18265
15,ORD1015,2024-03-28,2024-03-29,C015,Customer_15,Consumer,East,P015,Sony Camera,Cameras,43469,4,5378
16,ORD1016,2024-01-28,2024-01-31,C016,Customer_16,Consumer,East,P016,Lenovo Tab,Tablets,88748,5,16981
17,ORD1017,2024-05-15,2024-05-16,C017,Customer_17,Consumer,East,P017,Lenovo Tab,Tablets,83504,3,14470
18,ORD1018,2024-01-15,2024-01-17,C018,Customer_18,Corporate,North,P018,Canon Camera,Cameras,79364,1,8956
19,ORD1019,2024-06-17,2024-06-21,C019,Customer_19,Home Office,West,P019,iPad Air,Tablets,77063,2,10770
20,ORD1020,2024-06-25,2024-06-27,C020,Customer_20,Home Office,East,P020,JBL Speaker,Accessories,45857,4,11430
21,ORD1021,2024-04-25,2024-04-26,C021,Customer_21,Consumer,South,P021,Smart Bulb,Smart Devices,37493,2,4109
22,ORD1022,2024-01-19,2024-01-20,C022,Customer_22,Corporate,North,P022,Sony Headphones,Accessories,35007,1,8255
23,ORD1023,2024-06-20,2024-06-24,C023,Customer_23,Home Office,West,P023,Apple Watch,Accessories,33080,5,3964
24,ORD1024,2024-04-14,2024-04-16,C024,Customer_24,Corporate,West,P024,Apple Watch,Accessories,17363,1,3452
25,ORD1025,2024-01-14,2024-01-15,C025,Customer_25,Consumer,South,P025,Canon Printer,Printers,12944,4,2708
